totaltraveltimeinsec,totalprice,totalnumberofchanges,totalwalkingdistance,totalwaitingtime,objective,finiteautomaton,consideredpreferences,finalsolutionusedlabels,sourcename,targetname
0.1,0.9,0,0,0.0,price,all,"[travelTime, price]",[flixbus],Essen,Gelsenkirchen
0.0,2.2,0,0,0.0,price,all,"[travelTime, price]",[db_fv],Essen,Gelsenkirchen
0.1,0.9,0,0,0.0,price,ptOnly,"[travelTime, price]",[flixbus],Essen,Gelsenkirchen
0.0,2.2,0,0,0.0,price,ptOnly,"[travelTime, price]",[db_fv],Essen,Gelsenkirchen
0.0,2.9,0,0,0.0,travelTime,ptOnly,"[travelTime, price]",[db_fv],Essen,Gelsenkirchen
0.1,0.9,0,0,0.0,price,noFlights,"[travelTime, price]",[flixbus],Essen,Gelsenkirchen
0.0,2.2,0,0,0.0,price,noFlights,"[travelTime, price]",[db_fv],Essen,Gelsenkirchen
0.0,2.9,0,0,0.0,travelTime,noFlights,"[travelTime, price]",[db_fv],Essen,Gelsenkirchen
0.0,3.8,0,0,0.0,numberofChanges,all,"[travelTime, price, numberofChanges]",[car],Essen,Gelsenkirchen
0.0,2.9,0,0,0.0,numberofChanges,all,"[travelTime, price, numberofChanges]",[db_fv],Essen,Gelsenkirchen
0.0,3.8,0,0,0.0,numberofChanges,noFlights,"[travelTime, price, numberofChanges]",[car],Essen,Gelsenkirchen
0.1,0.9,0,300,0.0,price,all,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Essen,Gelsenkirchen
0.1,0.9,0,300,0.0,price,ptOnly,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Essen,Gelsenkirchen
0.1,0.9,0,300,0.0,price,noFlights,"[travelTime, price, numberofChanges, walkingDistance]",[flixbus],Essen,Gelsenkirchen
0.9,22.5,0,0,0.0,price,all,"[travelTime, price]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,27.4,0,0,0.0,price,all,"[travelTime, price]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,91.0,0,0,0.0,price,all,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,91.0,0,0,0.0,price,all,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,91.1,0,0,0.0,price,all,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.5,91.6,0,0,0.0,price,all,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.5,96.4,0,0,0.0,travelTime,all,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.9,22.5,0,0,0.0,price,ptOnly,"[travelTime, price]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,27.4,0,0,0.0,price,ptOnly,"[travelTime, price]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,91.0,0,0,0.0,price,ptOnly,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,91.0,0,0,0.0,price,ptOnly,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.6,91.1,0,0,0.0,price,ptOnly,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.5,91.6,0,0,0.0,price,ptOnly,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.5,96.4,0,0,0.0,travelTime,ptOnly,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
0.9,22.5,0,0,0.0,price,noFlights,"[travelTime, price]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,27.4,0,0,0.0,price,noFlights,"[travelTime, price]","[blablacar, db_fv]",Heidelberg,Oberhausen
0.7,91.0,0,0,0.0,price,noFlights,"[travelTime, price]","[flixbus, db_fv]",Heidelberg,Oberhausen
