,city,postcode,area_km2,population_total,population_male,population_female,population_density_per_km2,size_category
6,Berlin,10178,891.12,3664088,1802038,1862050,4112,metropolis
7,Hamburg,20038,755.09,1852478,906933,945545,2453,metropolis
8,München,80313,310.7,1488202,725905,762297,4790,metropolis
9,Köln,50667,405.01,1083498,528075,555423,2675,metropolis
11,Stuttgart,70173,207.32,630305,314721,315584,3040,big_city
12,Düsseldorf,40213,217.41,620523,299975,320548,2854,big_city
13,Leipzig,04109,297.8,597493,293522,303971,2006,big_city
14,Dortmund,44135,280.71,587696,289096,298600,2094,big_city
15,Essen,45127,210.34,582415,283169,299246,2769,big_city
19,Nürnberg,90403,186.44,515543,251839,263704,2765,big_city
20,Duisburg,47051,232.8,495885,245244,250641,2130,big_city
21,Bochum,44787,145.66,364454,177829,186625,2502,big_city
22,Wuppertal,42275,168.39,355004,174191,180813,2108,big_city
24,Bonn,53111,141.06,330579,158190,172389,2344,big_city
26,Mannheim,68159,144.97,309721,154262,155459,2136,big_city
27,Karlsruhe,76124,173.42,308436,157729,150707,1779,big_city
31,Gelsenkirchen,45879,104.94,259105,128800,130305,2469,big_city
32,Aachen,52062,160.85,248878,129961,118917,1547,big_city
42,Erfurt,99084,269.91,213692,103940,109752,792,big_city
43,Oberhausen,46045,77.09,209566,102819,106747,2718,big_city
46,Hagen,58095,160.45,188687,92235,96452,1176,big_city
53,Osnabrück,49074,119.8,164223,79475,84748,1371,big_city
55,Solingen,42651,89.54,159193,77284,81909,1778,big_city
56,Darmstadt,64283,122.07,159174,81048,78126,1304,big_city
57,Heidelberg,69117,108.83,158741,76264,82477,1459,big_city
65,Würzburg,97067,87.6,126954,60725,66229,1449,big_city
67,Ulm,89073,118.68,126405,62745,63660,1065,big_city
75,Erlangen,91051,76.96,112385,55944,56441,1460,big_city
113,Bamberg,96031,54.62,76674,37065,39609,1404,small_city
