,City,Confirmed Start Date,Confirmed End Date,Difference,Confirmed per day,population_total,Confirmed per 100000,stresslevel
0,Aachen,33454.0,40275.0,6821.0,243.60714285714286,248878,97.88215224211979,moderate
1,Bamberg,11671.0,18165.0,6494.0,231.92857142857142,76674,302.48659444997185,high
2,Berlin,238678.0,297183.0,58505.0,2089.464285714286,3664088,57.02549408513894,moderate
3,Bochum,21149.0,25029.0,3880.0,138.57142857142858,364454,38.02165117447705,low
4,Bonn,18915.0,22784.0,3869.0,138.17857142857142,330579,41.79895620368245,low
5,Darmstadt,22069.0,27470.0,5401.0,192.89285714285714,159174,121.1836462882488,high
6,Dortmund,36657.0,43341.0,6684.0,238.71428571428572,587696,40.618667766036474,low
7,Duisburg,35893.0,41083.0,5190.0,185.35714285714286,495885,37.37905822058398,low
8,Düsseldorf,35746.0,43751.0,8005.0,285.89285714285717,620523,46.07288644302583,low
9,Erfurt,12839.0,19589.0,6750.0,241.07142857142858,213692,112.81256601624234,high
10,Erlangen,12279.0,16397.0,4118.0,147.07142857142858,112385,130.86393074825696,high
11,Essen,33487.0,39344.0,5857.0,209.17857142857142,582415,35.915725286706454,low
12,Gelsenkirchen,19816.0,23020.0,3204.0,114.42857142857143,259105,44.163011685830625,low
13,Hagen,16050.0,18641.0,2591.0,92.53571428571429,188687,49.04191294880638,low
14,Hamburg,103406.0,122287.0,18881.0,674.3214285714286,1852478,36.40104922009485,low
15,Heidelberg,6642.0,8488.0,1846.0,65.92857142857143,158741,41.53216335324298,low
16,Karlsruhe,41287.0,54633.0,13346.0,476.64285714285717,308436,154.53541646982103,high
17,Köln,71648.0,88856.0,17208.0,614.5714285714286,1083498,56.721048730263334,moderate
18,Leipzig,48297.0,79683.0,31386.0,1120.9285714285713,597493,187.60530607531325,high
19,Mannheim,22106.0,28583.0,6477.0,231.32142857142858,309721,74.68703399880168,moderate
20,München,122620.0,161994.0,39374.0,1406.2142857142858,1488202,94.49082085054891,moderate
21,Nürnberg,54211.0,69757.0,15546.0,555.2142857142857,515543,107.6950488541762,high
22,Oberhausen,13485.0,15442.0,1957.0,69.89285714285714,209566,33.351238818728774,low
23,Osnabrück,28404.0,34034.0,5630.0,201.07142857142858,164223,122.4380437401756,high
24,Solingen,11645.0,13647.0,2002.0,71.5,159193,44.914035164862774,low
25,Stuttgart,41498.0,52374.0,10876.0,388.42857142857144,630305,61.62549423351733,moderate
26,Ulm,19780.0,26513.0,6733.0,240.46428571428572,126405,190.23320732113896,high
27,Wuppertal,26680.0,31582.0,4902.0,175.07142857142858,355004,49.315339706433896,low
28,Würzburg,12707.0,16816.0,4109.0,146.75,126954,115.59304945098225,high
