Total Travel Time,Price,Total Walking Distance,Total Waiting Time,finalsolutionusedlabels,sourcename,targetname,distance,stresslevel,multimodality,safety_boost,caloriesBurnt_avg,mood_upgrade,earnings_gross,delay_probability,luggage_transportation,meal_option,possible_expences
0.39,0.86,0,0.0,[flixbus],Essen,Gelsenkirchen,10.305,low,0,13,33,achieved,9.53,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
0.13,2.17,0,0.0,[db_fv],Essen,Gelsenkirchen,10.305,low,0,11,11,achieved,3.18,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
0.13,2.89,0,0.0,[db_fv],Essen,Gelsenkirchen,10.305,low,0,11,11,achieved,3.18,0.6,"unlimited carry-on and standard bags,no extra charge","catering trolley, on-board catering with 2-g rule",3
0.25,3.83,0,0.0,[car],Essen,Gelsenkirchen,13.746,low,0,1,21,achieved,6.11,0.4,"several hand bags, 6 bags, unlimited weight","prepared own snacks, buying at gas stations",3
0.39,0.86,300,0.0,[flixbus],Essen,Gelsenkirchen,10.305,low,0,13,42,achieved,9.53,0.7,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks",3
5.57,22.47,0,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,471,achieved,136.13,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.98,27.43,0,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,336,achieved,97.27,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
3.95,91.02,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,334,achieved,96.54,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.65,91.02,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,308,achieved,89.21,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.48,91.13,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,294,achieved,85.05,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.18,91.63,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,269,achieved,77.72,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.18,96.41,0,0.0,"[flixbus, db_fv]",Heidelberg,Oberhausen,326.313,low,1,12,269,achieved,77.72,0.88,"1 carry-on bag up to 7 kg, 1 free checked baggage up to 20 kg, additional bags per fee","prepared own snacks, on-board purshase of low cost snacks&drinks + catering trolley, on-board catering with 2-g rule",3
3.98,29.41,0,0.0,"[blablacar, db_fv]",Heidelberg,Oberhausen,326.313,low,1,2,336,achieved,97.27,0.8,"2 pieces of hand luggage, 2 free pieces of checked baggage up to 23 kg, additional bags per fee","prepared cold food&drinks, no alcohol + catering trolley, on-board catering with 2-g rule",3
