,routes,origin,destination,origin_gis,destination_gis,path,origin_info,destination_info
0,Gelsenkirchen-Oberhausen,Gelsenkirchen,Oberhausen,"[7.096064, 51.510892]","[6.852291, 51.470317]","[[7.096064, 51.510892], [6.852291, 51.470317]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.oberhausen-tourismus.de/en/index.php
1,Gelsenkirchen-Bonn,Gelsenkirchen,Bonn,"[7.096064, 51.510892]","[7.099187, 50.734245]","[[7.096064, 51.510892], [7.099187, 50.734245]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.bonn.de/microsite/en/highlights/tourist-information/tourist-information.php
2,Gelsenkirchen-Duisburg,Gelsenkirchen,Duisburg,"[7.096064, 51.510892]","[6.765477000000001, 51.433259]","[[7.096064, 51.510892], [6.765477000000001, 51.433259]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.duisburg.de/tourismus/index.php
3,Gelsenkirchen-München,Gelsenkirchen,München,"[7.096064, 51.510892]","[11.575997000000001, 48.137683]","[[7.096064, 51.510892], [11.575997000000001, 48.137683]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.munich.travel/en
4,Gelsenkirchen-Bochum,Gelsenkirchen,Bochum,"[7.096064, 51.510892]","[7.217177, 51.482699]","[[7.096064, 51.510892], [7.217177, 51.482699]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.bochum-tourismus.de/#c32169
5,Gelsenkirchen-Solingen,Gelsenkirchen,Solingen,"[7.096064, 51.510892]","[7.085665, 51.171718]","[[7.096064, 51.510892], [7.085665, 51.171718]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.solingen.de/marketing/
6,Gelsenkirchen-Nürnberg,Gelsenkirchen,Nürnberg,"[7.096064, 51.510892]","[11.075269, 49.450938]","[[7.096064, 51.510892], [11.075269, 49.450938]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://tourismus.nuernberg.de/en/
7,Gelsenkirchen-Karlsruhe,Gelsenkirchen,Karlsruhe,"[7.096064, 51.510892]","[8.405282000000001, 49.009626000000004]","[[7.096064, 51.510892], [8.405282000000001, 49.009626000000004]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.karlsruhe-erleben.de/en/media/attractions/Tourist-Information-Karlsruhe#/article/b0956bf3-244e-4dbe-8284-8295333e4237
8,Gelsenkirchen-Wuppertal,Gelsenkirchen,Wuppertal,"[7.096064, 51.510892]","[7.195874000000001, 51.271288]","[[7.096064, 51.510892], [7.195874000000001, 51.271288]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.wuppertal.de/tourismus-freizeit/touristinformationen/index.php?10
9,Gelsenkirchen-Hagen,Gelsenkirchen,Hagen,"[7.096064, 51.510892]","[7.4674059999999995, 51.360171]","[[7.096064, 51.510892], [7.4674059999999995, 51.360171]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://hagenentdecken.de/
10,Gelsenkirchen-Dortmund,Gelsenkirchen,Dortmund,"[7.096064, 51.510892]","[7.4641649999999995, 51.514171000000005]","[[7.096064, 51.510892], [7.4641649999999995, 51.514171000000005]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://visit.dortmund.de/en/
11,Gelsenkirchen-Düsseldorf,Gelsenkirchen,Düsseldorf,"[7.096064, 51.510892]","[6.780067999999999, 51.22422]","[[7.096064, 51.510892], [6.780067999999999, 51.22422]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.duesseldorf-tourismus.de/en
12,Gelsenkirchen-Essen,Gelsenkirchen,Essen,"[7.096064, 51.510892]","[7.012583, 51.455843]","[[7.096064, 51.510892], [7.012583, 51.455843]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.visitessen.de/startseite_14/Startseite.en.html
13,Gelsenkirchen-Erlangen,Gelsenkirchen,Erlangen,"[7.096064, 51.510892]","[11.003274000000001, 49.595079999999996]","[[7.096064, 51.510892], [11.003274000000001, 49.595079999999996]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.erlangen.info/schaufenster/tourist-information_erlangen-314/
14,Gelsenkirchen-Osnabrück,Gelsenkirchen,Osnabrück,"[7.096064, 51.510892]","[8.04205, 52.276920000000004]","[[7.096064, 51.510892], [8.04205, 52.276920000000004]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.osnabrueck.de//english
15,Gelsenkirchen-Leipzig,Gelsenkirchen,Leipzig,"[7.096064, 51.510892]","[12.377931, 51.338288]","[[7.096064, 51.510892], [12.377931, 51.338288]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://english.leipzig.de/
16,Gelsenkirchen-Würzburg,Gelsenkirchen,Würzburg,"[7.096064, 51.510892]","[9.93725, 49.793929999999996]","[[7.096064, 51.510892], [9.93725, 49.793929999999996]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.wuerzburg.de/en/index.html
17,Gelsenkirchen-Mannheim,Gelsenkirchen,Mannheim,"[7.096064, 51.510892]","[8.466275, 49.48778]","[[7.096064, 51.510892], [8.466275, 49.48778]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.visit-mannheim.de/en
18,Gelsenkirchen-Ulm,Gelsenkirchen,Ulm,"[7.096064, 51.510892]","[9.990402, 48.398454]","[[7.096064, 51.510892], [9.990402, 48.398454]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://tourismus.ulm.de/en/
19,Gelsenkirchen-Bamberg,Gelsenkirchen,Bamberg,"[7.096064, 51.510892]","[10.886786, 49.893387]","[[7.096064, 51.510892], [10.886786, 49.893387]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://en.bamberg.info/?setLanguage=en
20,Gelsenkirchen-Darmstadt,Gelsenkirchen,Darmstadt,"[7.096064, 51.510892]","[8.653838, 49.872238]","[[7.096064, 51.510892], [8.653838, 49.872238]]",https://www.gelsenkirchen.de/de/freizeit/zu_gast_in_gelsenkirchen/stadt-_und_touristinfo/index.aspx,https://www.darmstadt-tourismus.de/en/visit.html
