city;longitude;latitude
Gelsenkirchen;7.096064;51.510892
Oberhausen;6.852291;51.470317
Bonn;7.099187;50.734245
Duisburg;6.765477;51.433259
München;11.575997;48.137683
Bochum;7.217177;51.482699
Solingen;7.085665;51.171718
Nürnberg;11.075269;49.450938
Karlsruhe;8.405282;49.009626
Wuppertal;7.195874;51.271288
Hagen;7.467406;51.360171
Dortmund;7.464165;51.514171
Düsseldorf;6.780068;51.22422
Essen;7.012583;51.455843
Erlangen;11.003274;49.59508
Osnabrück;8.04205;52.27692
Leipzig;12.377931;51.338288
Würzburg;9.93725;49.79393
Mannheim;8.466275;49.48778
Ulm;9.990402;48.398454
Bamberg;10.886786;49.893387
Darmstadt;8.653838;49.872238
Köln;6.957068;50.938107
Stuttgart;9.177734;48.775817
Heidelberg;8.702067;49.408826
Erfurt;11.027236;50.977122
Berlin;13.405538;52.51767
Aachen;6.0838;50.773516
Hamburg;9.99697;53.550678
