,totalTravelTimeInSec,totalPrice,totalNumberOfChanges,totalWalkingDistance,totalWaitingTime,odPair_id,sourceName,targetName
min,14400.0,26.0,0.0,0.0,0.0,15-29,Hamburg,Würzburg
mean,17718.04081632653,113.32226726782442,0.0,0.011102818468581868,0.0,15-29,Hamburg,Würzburg
max,21643.0,159.57299720126218,0.0,0.06044867832894571,0.0,15-29,Hamburg,Würzburg
min,4680.0,11.629014646056454,0.0,0.0,0.0,12-24,Essen,Osnabrück
mean,9685.054054054053,24.712065508000457,0.6756756756756757,0.1833702502272395,1037.454954954955,12-24,Essen,Osnabrück
max,52198.0,42.81239773985561,1.0,0.4150187195363437,43800.0,12-24,Essen,Osnabrück
min,3868.0,7.3119500589544675,0.0,0.0,0.0,9-1,Düsseldorf,Aachen
mean,15811.8776119403,17.721652003953814,1.0,0.33025193231014965,5391.441791044776,9-1,Düsseldorf,Aachen
max,48705.0,37.08297166297128,2.0,0.8387718873937778,43062.0,9-1,Düsseldorf,Aachen
min,11340.0,32.83201909265079,0.0,0.0,0.0,15-14,Hamburg,Hagen
mean,17652.80821917808,67.71174774858319,0.7808219178082192,0.16167054124330293,1635.6849315068494,15-14,Hamburg,Hagen
max,23398.0,106.86193422971978,1.0,0.5141188754744108,6589.0,15-14,Hamburg,Hagen
min,5880.0,25.50624265545597,0.0,0.0,0.0,27-20,Ulm,Mannheim
mean,32892.21428571428,36.16425362415719,2.0974025974025974,0.21948295533771986,8918.675324675325,27-20,Ulm,Mannheim
max,74387.0,64.9318842019031,3.0,0.4201941229765532,59265.0,27-20,Ulm,Mannheim
min,3720.0,16.678944777133992,0.0,0.0,0.0,10-11,Erfurt,Erlangen
mean,7114.333333333333,41.457722205795925,0.0,0.09475090620744522,0.0,10-11,Erfurt,Erlangen
max,11972.0,62.81452775728096,0.0,0.3790036248297808,0.0,10-11,Erfurt,Erlangen
min,11467.0,22.95836662545393,0.0,0.0,0.0,6-13,Darmstadt,Gelsenkirchen
mean,16064.394422310757,56.071440081769865,1.9322709163346614,0.11462311930222926,1692.4741035856573,6-13,Darmstadt,Gelsenkirchen
max,19764.0,107.5079677399226,4.0,0.3680081284515907,6720.0,6-13,Darmstadt,Gelsenkirchen
